YvsZ/0,1300/0,4700/-0,3200/0,0300/-0,0100/-0,0700/-0,3843/0,2641/0,6725/0,0094/0,0311/0,3249/-1,4571/8,0300/-4,1142
YvsZ/0,1300/0,4700/-0,3200/0,0300/-0,0100/0,1900/-0,3843/0,2641/0,6725/0,0176/0,0357/0,5563/-1,3206/8,1118/-4,2088
YvsZ/0,1300/0,4700/-0,3200/0,0300/0,0000/0,4300/-0,3843/0,2641/0,6725/0,0225/0,0473/0,7457/-1,1471/8,4142/-4,2489
YvsZ/0,2000/0,6500/-0,2200/0,0300/-0,0100/0,1400/-0,5336/0,3907/0,5959/0,0159/0,0350/0,5142/-2,0890/9,5333/-8,6896
YvsZ/0,2000/0,6500/-0,2200/0,0300/0,0000/0,4500/-0,5336/0,3907/0,5959/0,0233/0,0474/0,7602/-1,8879/9,8666/-8,7678
YvsZ/0,2000/0,6500/-0,2200/0,0300/0,0000/0,5200/-0,5336/0,3907/0,5959/0,0262/0,0476/0,8090/-1,8766/9,9123/-8,7881
YvsZ/0,2000/0,6500/-0,2200/0,0300/0,0100/0,6100/-0,5336/0,3907/0,5959/0,0262/0,0568/0,8682/-1,8419/10,1759/-8,7733
YvsX/0,0600/0,2400/-0,2900/0,2600/0,1300/0,4800/-0,0224/0,2506/0,1060/0,2746/-0,0008/0,0214/4,8721/-4,3437/-2,9403
YvsX/0,0600/0,2400/-0,2900/0,4700/0,2400/0,4100/-0,0224/0,2506/0,1060/0,5138/-0,0062/-0,0040/4,6215/-7,9387/-6,6594
YvsX/0,0600/0,2400/-0,2900/0,6400/0,3400/0,3300/-0,0224/0,2506/0,1060/0,7142/-0,0014/-0,0092/4,6188/-9,1509/-11,6097
YvsX/0,1200/0,4700/-0,2700/0,2500/0,1300/0,4800/-0,0610/0,4858/0,0930/0,2658/0,0040/0,0214/8,5227/-3,1685/-6,3708
YvsX/0,1200/0,4700/-0,2700/0,4800/0,2400/0,3900/-0,0610/0,4858/0,0930/0,5226/-0,0114/-0,0216/7,9106/-6,9863/-10,3831
YvsX/0,1200/0,4700/-0,2700/0,6500/0,3300/0,3200/-0,0610/0,4858/0,0930/0,7182/-0,0152/-0,0178/7,8622/-8,1342/-15,2059
YvsX/0,2300/0,6500/-0,2600/0,2500/0,1200/0,4700/-0,0350/0,6952/0,0418/0,2608/-0,0050/0,0080/9,8680/-3,9770/-11,2195
YvsX/0,2300/0,6500/-0,2600/0,4700/0,2200/0,3700/-0,0350/0,6952/0,0418/0,5038/-0,0246/-0,0484/9,0102/-7,6056/-14,9903
